COUNTY,GORE,BUSH,BUCHANAN,NADER,NELSON,MCCOLLUM,LOGAN,VOTES,Clinton96,Dole96,Perot96,PAle96,PBuc96,PDol96,PDor96,PFor96,PGra96,PKey96,PLug96,PTayl6,PBau00,PBus00,PFor00,PHat00,PKey00,PMcC00
ALACHUA,47300,34062,262,3215,49005,31003,1733,166580,40144,25303,8072,247,2151,4326,26,1628,43,225,46,12,34,4735,64,19,582,1544
BAKER,2392,5610,73,53,3104,4578,50,15860,2273,3684,667,2,73,146,2,28,4,2,0,0,0,236,0,0,11,26
BAY,18850,38637,248,828,22914,33901,358,115736,17020,28290,5922,125,1816,3218,40,886,32,108,20,7,16,3253,20,9,216,846
BRADFORD,3072,5413,65,84,4118,4697,92,17541,3356,4038,819,7,155,314,3,71,1,16,1,0,2,415,2,0,33,40
BREVARD,97318,115185,570,4470,112255,98813,2304,430915,80416,87980,25249,800,7927,23457,223,11269,148,1089,130,61,101,19703,223,46,1853,6334
BROWARD,386518,177279,789,7099,377081,174980,5974,1129720,320736,142834,38964,1086,10966,31401,321,12611,213,1196,178,108,465,35436,799,177,2443,11777
CALHOUN,2155,2873,90,39,2809,2055,31,10052,1794,1717,630,3,41,53,2,6,0,1,0,1,0,78,0,0,7,22
CHARLOTTE,29641,35419,182,1461,28947,37026,746,133422,27121,27836,7783,191,2982,8255,88,2535,38,220,62,26,47,7872,102,27,403,2155
CITRUS,25501,29744,270,1378,27566,27025,947,112431,22042,20114,7244,134,2293,5387,36,2121,38,162,31,20,31,5194,63,19,528,1776
CLAY,14630,41745,186,562,16094,39054,561,112832,13246,30332,3281,170,2351,6699,46,1671,39,161,19,10,31,7455,54,8,367,1347
COLLIER,29905,60426,122,1400,28207,60508,822,181390,23182,42590,6320,330,2722,12918,104,4516,52,294,116,13,109,16411,207,33,671,3992
COLUMBIA,7047,10964,89,258,8942,9031,255,36586,6691,7588,1970,41,657,980,5,271,9,31,7,6,4,1050,10,5,90,152
DADE,328702,289456,561,5355,304878,264801,11796,1205549,317378,209634,24722,862,6349,63110,840,6994,188,1005,134,126,1,425,6,1,29,69
DE SOTO,3322,4256,36,157,3593,3736,127,15227,3219,3272,965,12,189,436,3,136,3,11,3,0,0,80,0,1,3,14
DIXIE,1826,2697,29,75,2450,2007,36,9120,1731,1398,652,4,55,68,1,25,0,0,0,0,106,20861,161,37,1292,2661
DUVAL,107680,152082,650,2752,121805,145930,3214,534113,112258,126857,13844,440,7051,21796,149,5295,118,665,71,22,56,10275,86,16,1769,3484
ESCAMBIA,40958,73029,504,1729,45907,67607,771,230505,37768,60839,8587,384,4977,9491,86,2770,172,557,73,10,15,2405,26,7,112,1109
FLAGLER,13891,12608,83,435,13980,11988,293,53278,9583,8232,2185,49,629,2131,5,690,4,44,11,1,0,153,0,0,9,36
FRANKLIN,2046,2454,33,85,2498,2018,31,9165,2095,1563,878,3,32,79,0,59,0,0,1,1,1,291,2,2,44,72
GADSDEN,9565,4750,39,139,10838,4306,553,30190,9405,3813,938,4,138,205,4,61,0,19,1,0,2,214,2,2,38,37
GILCHRIST,1910,3300,29,97,2558,2561,46,10501,1985,1939,841,2,106,172,1,49,5,5,2,0,2,180,4,0,4,28
GLADES,1441,1840,9,56,1649,1620,67,6682,1530,1361,521,2,58,159,2,32,1,3,1,0,1,226,2,2,9,44
GULF,2389,3546,71,86,3393,2739,42,12266,2480,2424,1054,6,105,142,1,38,1,7,0,0,0,76,0,0,9,14
HAMILTON,1722,2146,23,37,2172,1722,44,7866,1734,1518,406,1,37,45,0,7,0,0,0,0,1,270,2,0,13,46
HARDEE,2341,3764,30,75,2972,3051,88,12321,2417,2926,851,4,97,178,3,57,2,4,1,1,3,436,9,2,22,82
HENDRY,3239,4743,22,103,3760,4513,116,16496,3882,3855,1135,12,183,368,2,76,2,9,0,1,32,5660,49,11,315,1694
HERNANDO,32644,30646,242,1501,32916,29099,1106,128154,28520,22039,7272,242,2645,7247,50,3059,56,161,46,26,36,4384,38,8,188,882
HIGHLANDS,14167,20206,127,545,11630,14342,296,61313,14244,15608,3739,86,1096,3970,31,1058,20,69,35,8,146,25253,261,52,1601,5835
HILLSBOROUGH,169529,180713,845,7486,176667,159169,5928,700337,144223,136621,25154,653,7267,22898,155,10461,145,946,131,29,0,107,2,0,8,12
HOLMES,2154,4985,76,91,3201,3252,31,13790,2310,3248,1208,5,62,84,0,16,1,3,0,0,51,5921,90,13,338,1739
INDIAN RIVER,19768,28635,105,950,21050,27223,545,98276,16373,22709,4635,190,1797,7182,49,2874,41,152,51,12,2,447,5,0,51,93
JACKSON,6868,9138,102,138,8648,7529,168,32591,6665,7187,1602,10,390,494,6,89,5,12,3,0,1,213,0,0,20,52
