Year,TStorms,Hurricanes,Major
1930,3,2,2
1931,13,3,1
1932,15,6,4
1933,20,11,6
1934,13,7,1
1935,8,5,3
1936,17,7,1
1937,11,4,1
1938,9,4,2
1939,6,3,1
1940,9,6,0
1941,6,4,3
1942,11,4,1
1943,10,5,2
1944,14,8,3
1945,11,5,2
1946,7,3,0
1947,10,5,2
1948,10,6,4
1949,16,7,2
1950,16,11,6
1951,12,8,3
1952,11,5,2
1953,14,7,3
1954,16,7,3
1955,13,9,4
1956,8,4,2
1957,8,3,2
1958,10,7,5
1959,11,7,2
1960,7,4,2
1961,11,8,7
1962,5,3,1
1963,9,7,2
1964,12,6,6
1965,6,4,1
1966,11,7,3
1967,8,6,1
1968,8,5,0
1969,18,12,5
1970,10,5,2
1971,13,6,1
1972,7,3,0
1973,8,4,1
1974,11,4,2
1975,9,6,3
1976,10,6,2
1977,6,5,1
1978,12,5,2
1979,9,6,2
1980,11,9,2
1981,12,7,3
1982,6,2,1
1983,4,3,1
1984,13,5,1
1985,11,7,3
1986,6,4,0
1987,7,3,1
1988,12,5,3
1989,11,7,2
1990,14,8,1
1991,8,4,2
1992,7,4,1
1993,8,4,1
1994,7,3,0
1995,19,11,5
1996,13,9,6
1997,8,3,1
1998,14,10,3
1999,12,8,5
2000,15,8,3
2001,15,9,4
2002,12,4,2
2003,16,7,3
2004,15,9,6
2005,28,15,7
2006,10,5,2
2007,15,6,2
2008,16,8,5
2009,9,3,2
2010,19,12,5
2011,19,7,4
2012,19,10,2
2013,14,2,0
2014,8,6,2
